source,source_type,route,origin,destination,travel_date,booking_window,base_fare,taxes,convenience_fee,total_fare,fare_class,availability,scrape_timestamp,flight_number,airline_code,raw_payload
IndiGo,airline,DEL-BOM,DEL,BOM,2026-09-09,T+1,6463.88,1349.62,0.0,7813.5,Economy,Available,2026-09-08T08:51:47.246784,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:47.246701', 'source': 'IndiGo'}"
Air India,airline,DEL-BOM,DEL,BOM,2026-09-09,T+1,7183.52,1553.46,0.0,8736.98,Economy,Available,2026-09-08T08:51:46.922404,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:46.922341', 'source': 'Air India'}"
Akasa Air,airline,DEL-BOM,DEL,BOM,2026-09-09,T+1,6331.44,1456.12,0.0,7787.56,Economy,Available,2026-09-08T08:51:42.082104,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.081952', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-BOM,DEL,BOM,2026-09-09,T+1,6328.63,1206.76,0.0,7535.39,Economy,Available,2026-09-08T08:51:42.194117,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.194060', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-BOM,DEL,BOM,2026-09-09,T+1,6458.25,1208.04,0.0,7666.29,Economy,Available,2026-09-08T08:51:44.791902,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.791843', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-BOM,DEL,BOM,2026-09-09,T+1,6712.59,1593.76,350.0,8656.35,Economy,Available,2026-09-08T08:51:47.288950,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:47.288891', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-BOM,DEL,BOM,2026-09-09,T+1,6875.67,1326.52,350.0,8552.19,Economy,Available,2026-09-08T08:51:47.281209,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:47.281156', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-BOM,DEL,BOM,2026-09-09,T+1,6787.32,1606.92,0.0,8394.24,Economy,Available,2026-09-08T08:51:41.921417,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:41.921283', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-BOM,DEL,BOM,2026-09-09,T+1,6999.24,1546.56,350.0,8895.8,Economy,Available,2026-09-08T08:51:42.371481,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:42.371422', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-BOM,DEL,BOM,2026-09-09,T+1,6786.84,1476.18,350.0,8613.02,Economy,Available,2026-09-08T08:51:41.499969,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:41.499858', 'source': 'Ixigo'}"
